Portfolio Name,Positions Count,Total Cost Basis,Created At,Updated At
"Ori",18,182828.29,"Mon Jul 07 2025 16:29:00 GMT+0300 (Israel Daylight Time)","Tue Jul 08 2025 19:48:36 GMT+0300 (Israel Daylight Time)"
"alexei",1,500.00,"Mon Jul 07 2025 16:35:05 GMT+0300 (Israel Daylight Time)","Mon Jul 07 2025 21:09:25 GMT+0300 (Israel Daylight Time)"
